Rank,Name,Count
1.0,CHLOE ,7745.0
2.0,EMILY ,6616.0
3.0,SOPHIE ,6311.0
4.0,JESSICA ,6090.0
5.0,MEGAN ,5724.0
6.0,HANNAH ,5581.0
7.0,CHARLOTTE ,5531.0
8.0,LAUREN ,5529.0
9.0,REBECCA ,5514.0
10.0,GEORGIA ,4908.0
11.0,AMY ,4666.0
12.0,LUCY ,4235.0
13.0,EMMA ,4126.0
14.0,BETHANY ,4074.0
15.0,KATIE ,3864.0
16.0,SHANNON ,3640.0
17.0,LAURA ,2937.0
18.0,COURTNEY ,2812.0
19.0,OLIVIA ,2789.0
20.0,ELEANOR ,2747.0
21.0,MOLLY ,2628.0
22.0,SARAH ,2613.0
23.0,HOLLY ,2584.0
24.0,ABIGAIL ,2570.0
25.0,JADE ,2538.0
26.0,ALICE ,2259.0
27.0,ELLIE ,2202.0
28.0,RACHEL ,2120.0
29.0,DANIELLE ,2069.0
30.0,ELIZABETH ,1892.0
31.0,ZOE ,1784.0
32.0,PAIGE ,1703.0
33.0,GEORGINA ,1700.0
34.0,VICTORIA ,1650.0
35.0,CHELSEA ,1649.0
36.0,LEAH ,1605.0
37.0,NICOLE ,1569.0
38.0,SAMANTHA ,1552.0
39.0,NATASHA ,1500.0
40.0,AMBER ,1490.0
40.0,ANNA ,1490.0
42.0,GRACE ,1440.0
43.0,ALEXANDRA ,1381.0
44.0,ELLA ,1300.0
45.0,LOUISE ,1283.0
46.0,CAITLIN ,1215.0
47.0,MELISSA ,1180.0
48.0,JASMINE ,1154.0
49.0,AMELIA ,1145.0
50.0,KAYLEIGH ,1140.0
51.0,NATALIE ,1138.0
52.0,STEPHANIE ,1115.0
53.0,KATHERINE ,1077.0
54.0,PHOEBE ,1071.0
55.0,ABBIE ,1067.0
56.0,LYDIA ,1062.0
57.0,GEMMA ,1053.0
58.0,JODIE ,1021.0
59.0,HARRIET ,1e3
60.0,FRANCESCA ,975.0
61.0,AIMEE ,968.0
62.0,JENNIFER ,938.0
63.0,KIRSTY ,898.0
64.0,KATE ,892.0
65.0,HAYLEY ,877.0
66.0,ELLEN ,866.0
67.0,HOLLIE ,858.0
68.0,ASHLEIGH ,857.0
68.0,DAISY ,857.0
70.0,ROSIE ,818.0
71.0,ALISHA ,816.0
72.0,SIAN ,760.0
73.0,BETHAN ,750.0
74.0,CATHERINE ,736.0
75.0,LILY ,721.0
76.0,MOLLIE ,677.0
77.0,ISOBEL ,651.0
78.0,HEATHER ,645.0
79.0,RACHAEL ,643.0
80.0,DEMI ,633.0
81.0,YASMIN ,628.0
82.0,KELLY ,621.0
83.0,KATHRYN ,619.0
84.0,ALICIA ,606.0
85.0,NAOMI ,603.0
86.0,NIAMH ,591.0
86.0,RHIANNON ,591.0
88.0,MILLIE ,584.0
89.0,MIA ,583.0
90.0,ROBYN ,568.0
91.0,SOPHIA ,566.0
92.0,CHANTELLE ,557.0
93.0,KIMBERLEY ,551.0
94.0,IMOGEN ,548.0
95.0,MADELEINE ,540.0
96.0,BETH ,536.0
97.0,ERIN ,532.0
98.0,GABRIELLE ,527.0
99.0,TIA ,525.0
100.0,ISABELLE ,509.0
101.0,NICOLA ,506.0
102.0,CHARLIE ,501.0
103.0,JORDAN ,486.0
104.0,RUBY ,485.0
105.0,KELSEY ,476.0
105.0,LEANNE ,476.0
