"year","quarter","time","Australia","Belgium","Canada","Switzerland","Germany","Denmark","Spain","Finland","France","UK","Ireland","Italy","Japan","S..Korea","Luxembourg","Netherlands","Norway","New.Zealand","Sweden","US","S..Africa","Croatia","Israel"
1975,"Q1",1975,7.6,15.18,16.16,48.83,52.02,15.78,8.71,13.49,11.1,5.92,3.44,8.19,60.14,8.7,7.49,14.92,13.36,7.41,14.57,17.27,3.23,0,0
1975,"Q2",1975.25,7.74,15.93,16.38,48.19,52.67,16.21,9.75,13.65,11.5,6.03,3.67,8.06,60.31,9.23,8.19,15.79,13.47,7.43,15.06,17.62,3.28,0,0
1975,"Q3",1975.5,8.04,16.64,17.09,47.72,53.34,17.02,9.96,13.84,11.92,6.15,3.89,7.97,60.51,9.82,8.87,16.82,13.7,7.54,15.59,17.66,3.29,0,0
1975,"Q4",1975.75,8.3,17.56,17.33,47.13,54.06,17.14,10.7,14.2,12.39,6.25,4.11,7.91,60.74,10.43,9.52,17.99,14.14,7.71,16.15,18,3.37,0,0
1976,"Q1",1976,8.58,18.75,17.57,46.43,54.83,17.66,10.77,14.42,12.89,6.46,4.32,7.88,60.96,11.07,10.16,18.99,14.12,7.85,16.72,18.14,3.44,0,0
1976,"Q2",1976.25,8.83,19.67,18.1,46.1,55.68,17.71,12.05,14.49,13.34,6.58,4.53,7.89,61.36,11.71,10.77,21.32,14.75,8.02,17.34,18.89,3.51,0,0
1976,"Q3",1976.5,9.07,20.58,18.09,45.78,56.58,18.13,12.5,14.71,13.8,6.66,4.73,7.93,61.93,12.42,11.37,23.01,15.1,8.12,17.99,19.2,3.51,0,0
1976,"Q4",1976.75,9.26,21.5,17.98,46.02,57.56,18.97,12.51,14.87,14.33,6.81,4.94,8,62.52,13.15,11.95,24.39,15.71,8.24,18.7,19.45,3.51,0,0
1977,"Q1",1977,9.48,22.45,17.87,45.94,58.6,19.06,12.8,14.94,14.96,6.94,5.06,8.11,63.21,13.74,12.56,26.86,16.01,8.41,19.49,20.02,3.51,0,0
1977,"Q2",1977.25,9.66,23.42,18.05,46.25,59.71,20.09,12.2,15.09,15.43,6.99,5.29,8.26,63.91,14.56,13.07,31.05,16.23,8.61,20.2,20.95,3.56,0,0.01
1977,"Q3",1977.5,9.87,24.4,18.23,46.59,60.89,20.92,14.17,15.09,15.88,7.13,5.53,8.44,64.64,15.53,13.51,31.75,16.6,8.67,20.89,21.43,3.56,0,0.01
1977,"Q4",1977.75,10.03,25.5,19.12,46.64,62.15,22.09,14.13,15.15,16.38,7.39,5.81,8.65,65.41,16.6,13.88,31.88,16.96,8.65,21.58,22.27,3.59,0,0.01
1978,"Q1",1978,10.22,26.13,19.39,47.01,63.51,22.85,15.43,15.42,16.77,7.65,6.09,8.9,66.16,17.55,14.09,32.26,16.99,8.64,22.2,22.96,3.63,0,0.01
1978,"Q2",1978.25,10.38,26.86,19.84,47.83,64.85,23.57,16.9,15.62,17.22,7.96,6.42,9.18,67.09,18.83,14.41,34.6,16.93,8.72,22.83,23.85,3.64,0,0.01
1978,"Q3",1978.5,10.62,27.64,20.3,48.86,66.18,24.26,17.17,15.6,17.69,8.42,6.79,9.56,68.14,20.37,14.75,32.57,17.37,8.81,23.46,24.57,3.72,0,0.01
1978,"Q4",1978.75,10.81,28.27,20.52,49.89,67.53,24.61,16.8,15.74,18.27,9.07,7.19,9.77,69.37,22.08,15.09,32.13,17.54,8.91,24.1,25.25,3.86,0,0.01
