Country,CPI,Region
Canada,8.7,Americas
Barbados,7.8,Americas
Bahamas,7.3,Americas
Chile,7.2,Americas
United States,7.1,Americas
Saint Lucia,7.0,Americas
Uruguay,7.0,Americas
Saint Vincent and the Grenadines,5.8,Americas
Puerto Rico,5.6,Americas
Dominica,5.2,Americas
Costa Rica,4.8,Americas
Cuba,4.2,Americas
Brazil,3.8,Americas
Colombia,3.4,Americas
El Salvador,3.4,Americas
Peru,3.4,Americas
Jamaica,3.3,Americas
Panama,3.3,Americas
Trinidad and Tobago,3.2,Americas
Argentina,3.0,Americas
Mexico,3.0,Americas
Suriname,3.0,Americas
Bolivia,2.8,Americas
Ecuador,2.7,Americas
Guatemala,2.7,Americas
Dominican Republic,2.6,Americas
Honduras,2.6,Americas
Guyana,2.5,Americas
Nicaragua,2.5,Americas
Paraguay,2.2,Americas
Venezuela,1.9,Americas
Haiti,1.8,Americas
New Zealand,9.5,Asia Pacific
Singapore,9.2,Asia Pacific
Australia,8.8,Asia Pacific
Hong Kong,8.4,Asia Pacific
Japan,8.0,Asia Pacific
Taiwan,6.1,Asia Pacific
Bhutan,5.7,Asia Pacific
Korea (South),5.4,Asia Pacific
Brunei,5.2,Asia Pacific
Macau,5.1,Asia Pacific
Malaysia,4.3,Asia Pacific
Samoa,3.9,Asia Pacific
China,3.6,Asia Pacific
Vanuatu,3.5,Asia Pacific
Thailand,3.4,Asia Pacific
Sri Lanka,3.3,Asia Pacific
India,3.1,Asia Pacific
Kiribati,3.1,Asia Pacific
Tonga,3.1,Asia Pacific
Indonesia,3.0,Asia Pacific
Vietnam,2.9,Asia Pacific
Bangladesh,2.7,Asia Pacific
Mongolia,2.7,Asia Pacific
Solomon Islands,2.7,Asia Pacific
Philippines,2.6,Asia Pacific
Maldives,2.5,Asia Pacific
Pakistan,2.5,Asia Pacific
Timor-Leste,2.4,Asia Pacific
Laos,2.2,Asia Pacific
Nepal,2.2,Asia Pacific
Papua New Guinea,2.2,Asia Pacific
Cambodia,2.1,Asia Pacific
Afghanistan,1.5,Asia Pacific
Myanmar,1.5,Asia Pacific
Korea (North),1.0,Asia Pacific
Turkey,4.2,East EU Cemt Asia
Georgia,4.1,East EU Cemt Asia
Croatia,4.0,East EU Cemt Asia
Montenegro,4.0,East EU Cemt Asia
FYR Macedonia,3.9,East EU Cemt Asia
Serbia,3.3,East EU Cemt Asia
Bosnia and Herzegovina,3.2,East EU Cemt Asia
Albania,3.1,East EU Cemt Asia
Kosovo,2.9,East EU Cemt Asia
Moldova,2.9,East EU Cemt Asia
Kazakhstan,2.7,East EU Cemt Asia
Armenia,2.6,East EU Cemt Asia
Azerbaijan,2.4,East EU Cemt Asia
Belarus,2.4,East EU Cemt Asia
Russia,2.4,East EU Cemt Asia
Tajikistan,2.3,East EU Cemt Asia
Ukraine,2.3,East EU Cemt Asia
Kyrgyzstan,2.1,East EU Cemt Asia
Turkmenistan,1.6,East EU Cemt Asia
Uzbekistan,1.6,East EU Cemt Asia
Denmark,9.4,EU W. Europe
Finland,9.4,EU W. Europe
Sweden,9.3,EU W. Europe
Norway,9.0,EU W. Europe
Netherlands,8.9,EU W. Europe
Switzerland,8.8,EU W. Europe
Luxembourg,8.5,EU W. Europe
Iceland,8.3,EU W. Europe
Germany,8.0,EU W. Europe
Austria,7.8,EU W. Europe
United Kingdom,7.8,EU W. Europe
Belgium,7.5,EU W. Europe
Ireland,7.5,EU W. Europe
France,7.0,EU W. Europe
Estonia,6.4,EU W. Europe
Cyprus,6.3,EU W. Europe
Spain,6.2,EU W. Europe
Portugal,6.1,EU W. Europe
Slovenia,5.9,EU W. Europe
Malta,5.6,EU W. Europe
Poland,5.5,EU W. Europe
Lithuania,4.8,EU W. Europe
Hungary,4.6,EU W. Europe
Czech Republic,4.4,EU W. Europe
Latvia,4.2,EU W. Europe
Slovakia,4.0,EU W. Europe
Italy,3.9,EU W. Europe
Romania,3.6,EU W. Europe
Greece,3.4,EU W. Europe
Bulgaria,3.3,EU W. Europe
Qatar,7.2,MENA
United Arab Emirates,6.8,MENA
Israel,5.8,MENA
Bahrain,5.1,MENA
Oman,4.8,MENA
Kuwait,4.6,MENA
Jordan,4.5,MENA
Saudi Arabia,4.4,MENA
Tunisia,3.8,MENA
Morocco,3.4,MENA
Algeria,2.9,MENA
Egypt,2.9,MENA
Iran,2.7,MENA
Syria,2.6,MENA
Lebanon,2.5,MENA
Yemen,2.1,MENA
Libya,2.0,MENA
Iraq,1.8,MENA
Botswana,6.1,SSA
Cape Verde,5.5,SSA
Mauritius,5.1,SSA
Rwanda,5.0,SSA
Seychelles,4.8,SSA
Namibia,4.4,SSA
South Africa,4.1,SSA
Ghana,3.9,SSA
Gambia,3.5,SSA
Lesotho,3.5,SSA
Liberia,3.2,SSA
Zambia,3.2,SSA
Swaziland,3.1,SSA
Benin,3.0,SSA
Burkina Faso,3.0,SSA
Djibouti,3.0,SSA
Gabon,3.0,SSA
Madagascar,3.0,SSA
Malawi,3.0,SSA
Sao Tome & Principe,3.0,SSA
Tanzania,3.0,SSA
Senegal,2.9,SSA
Mali,2.8,SSA
Ethiopia,2.7,SSA
Mozambique,2.7,SSA
Cameroon,2.5,SSA
Eritrea,2.5,SSA
Niger,2.5,SSA
Sierra Leone,2.5,SSA
Comoros,2.4,SSA
Mauritania,2.4,SSA
Nigeria,2.4,SSA
Togo,2.4,SSA
Uganda,2.4,SSA
Central African Republic,2.2,SSA
Congo  Republic,2.2,SSA
C™te d«Ivoire,2.2,SSA
Guinea-Bissau,2.2,SSA
Kenya,2.2,SSA
Zimbabwe,2.2,SSA
Guinea,2.1,SSA
Angola,2.0,SSA
Chad,2.0,SSA
Democratic Republic of the Congo ,2.0,SSA
Burundi,1.9,SSA
Equatorial Guinea,1.9,SSA
Sudan,1.6,SSA
Somalia,1.0,SSA
