Variable	Description
state  	State                          
region 	Geographical region            
pop    	1990 population                
area   	Land area, square miles        
density	People per square mile         
metro  	Metropolitan area population, %
waste  	Per capita solid waste, tons   
energy 	Per capita energy consumed, Btu
miles  	Per capita miles driven/year   
toxic  	Per capita toxics released, lbs
green  	Per capita greenhouse gas, tons
house  	House '91 environ. voting, %   
senate 	Senate '91 environ. voting, %  
csat   	Mean composite SAT score       
vsat   	Mean verbal SAT score          
msat   	Mean math SAT score            
percent	% HS graduates taking SAT      
expense	Per pupil expenditures prim&sec
income 	Median household income        
high   	% over 25 w/HS diploma         
college	% over 25 w/bachelor's degree +
