text,searchloc
"RT @MikeReiss: Patriots sign DL Armond Armstead, formerly of USC &amp; CFL, per sources. @AdamSchefter previously noted he's equivalent  ...",boston
RT @JerryRemysGrill: Pitchers and catchers report in 22 days ... #RedSox  #Patriots,boston
RT @BEASTMODE_CoOp: look at the Patriots bench looking like Myra Kraft died again 😂,boston
RT @BEASTMODE_CoOp: Damn right I did! “@LLColdBeer: U really said this? Smh RT @BEASTMODE_CoOp: look at the Patriots bench looking like  ...,boston
The Patriots sign a pass rusher. #PatriotsTalk #Boston #Sports #CurrentEvents @PatriotsLife @SportsCenter #Patriots,boston
@Chan95Jones naw bro! Be safe to many gold diggers out there! U stayed low key. That's the #Patriots way! But live your life party a lil!,boston
still drowning my New England Patriots sorrow in paint :p this new piece is nearly finished... 'Urban Rumble' :) http://t.co/xdKsB5SD,boston
“@NFL_Memes: UPDATED: Falcons and Patriots logo. http://t.co/ndhzhc9f” dah!!!! @A_Ayala2,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
“@NFL_Memes: UPDATED: Falcons and Patriots logo. http://t.co/R9alnLFu” hahahaha @Nick_40s @OneTakeTimmy wish I thought of this,boston
“@NFL_Memes: UPDATED: Falcons and Patriots logo. http://t.co/Oz7jMyxK”,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
The Patriots haven't won a Superbowl since Spygate.  That's pretty sad.....,boston
"RT @DWest12: @JohnExley With #TB12 on this team though, the @Patriots are in it every year. They will be back.",boston
@TorreySmithWR just heard on news about #patriots fans tweets. I'm a pats fan and #Respect the #Ravens. Complete R'Tards here sometimes!!,boston
"RT @GregABedard: Globe Patriots blog: Patriots sign DL Armond Armstead: Listed at 6-5, 298 pounds, Armstead spent 2012 with the T... htt ...",boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
RT @cpriceNFL: It Is What It Is &gt;&gt; Revisiting Patriots’ rookies: Measuring overall impact of this year’s group http://t.co/F9eIXSz ...,boston
Sources: Pats sign Armond Armstead - ESPN http://t.co/eAT6M0a8,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
Following the flags: Tracking Patriots penalties for 2012 postseason - http://t.co/OlfJRHf5 #Patriots,boston
Pressure Points: Which Pats defenders did best job getting after QB in 2012 postseason? - http://t.co/zCPUR0kj #Patriots,boston
@XOBlondeBarbie @douchyweswekler @douchytombrady Tommy doesn't crymax much; only when the Patriots don't win.,boston
@DrewBiemer @Patriots Go crows!,boston
Now that I'm home the depression of another heartbreaking end to a Patriots season is really in full effect 😔😩😢 #LoveYaTB12,boston
RT @tomecurran: The Patriots have signed former CFL defensive lineman Armond Armstead. http://t.co/qprsto36 #PatriotsTalk,boston
"http://t.co/PVwIdmbw kinda pussy by the pats players, not gonna lie. No reason to watch it now.",boston
Justin Timberlake left sexy in the parking lot with the Patriots defense.,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
"RT @ESPNBoston: Armond Armstead signs with New England Patriots, according to sources http://t.co/Vq8WOGiG",boston
RT @PatriotsUpdate: Snaps: Spikes &amp; the sub defense http://t.co/dDqi8SSD,boston
Dunkin' Donuts Coffee with the Coach - 1/19/2013  http://t.co/7g5WYVn9,boston
Snaps: Spikes &amp; the sub defense http://t.co/dDqi8SSD,boston
RT @PatsCanesLaw: Home of Patriots DB Martin robbed during game http://t.co/G5fYn9Q6,boston
"""@rockthevotes: @cjs444 @Patriots @Falcons Everyone is sleeping on the falcons.and in noway am I blaming matty ice..he solid",boston
RT @PatriotsUpdate: Sources: Pats sign Armond Armstead http://t.co/VXkqiJb0,boston
New post: Felger &amp; Mazz: 10 Questions With Wiggy http://t.co/Im71mfeL #sports #sportsnews,boston
New post: Breer On Gresh &amp; Zo: Pollard Penalty Set Tone For Ravens http://t.co/UtIBjTAZ #sports #sportsnews,boston
"RT @tgsports: GHOOPS: Doherty 65, Burncoat 37: Graham, Cormier propel No. 6 Highlanders past Patriots: http://t.co/lC1u8xYg",boston
@DerekMacDougall @chrisbudds78 We declared at the end of the show today that the #Patriots post-mortem is over. #Bruins talk will return Wed,boston
"RT @NEPD_Loyko: IMO there are alot of players down here who fit what the #Patriots need, impressive DB crop and Quinton Patton was unbel ...",boston
Home of Patriots DB Martin robbed during game http://t.co/G5fYn9Q6,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
RT @NESN: Report: Patriots Sign Defensive Tackle Armond Armstead From CFL http://t.co/hvxfKQkl,boston
I feel like I'm still mourning the patriots. Why must they do this to me? 😔,boston
Tom Brady texts Ed Reed to apologize for sliding kick... http://t.co/U3lN59UH   #NFL #NewEngland #Patriots,boston
"“@TheWildBoy31: On a scale of 1 to McDonald's fries, how salty are you patriots fans?” @maurax123  #ExtraSalty Maura I'm dying",boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
@Fyavo17 http://t.co/RKKL1ABb this is why people hate the patriots,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
"IMO there are alot of players down here who fit what the #Patriots need, impressive DB crop and Quinton Patton was unbelievable today",boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
RT @PATRIOTSdotCOM: Take Two-sday: Knocked out |  http://t.co/wRg2UrV5 #Patriots @JumboHart,boston
"RT @MikeReiss: Patriots sign DL Armond Armstead, formerly of USC &amp; CFL, per sources. @AdamSchefter previously noted he's equivalent  ...",boston
RT @tomecurran: The Patriots have signed former CFL defensive lineman Armond Armstead. http://t.co/B0cp8WOJ #PatriotsTalk,boston
@ay_leenn THIS WAS THE PATRIOTS YEAR. WHYYYY. Im so......sad.,boston
"RT @ocktalks: Patriots, Celtics...at least we've got the Bruins. Imagine where we'd be if the NHL season hadn't been saved? #Dontevenwan ...",boston
@kaeno04 @Sissiet @medinanelson @luinisrc  ser aguilucho es como ser de los patriots q siempre tan en toa y al final terminan en na #asino,boston
"@Enough_Already1 Fashioning themselves as 1775 patriots, forgetting diff btw rebel against Brit rule vs against own country.
@TheAdam2014",boston
"RT @MassholeSports: If Ray Lewis thinks God is on his side, he's a delusional bastid. Im pretty sure God doesnt love murders #Patriots # ...",boston
RT @tomecurran: The Patriots have signed former CFL defensive lineman Armond Armstead. http://t.co/B0cp8WOJ #PatriotsTalk,boston
"RT @GregABedard: Globe Patriots blog: Wes Welker's wife apologizes for comments about Ray Lewis: By Zuri Berry, Boston.c... http://t.co/ ...",boston
RT @tomecurran: The Patriots have signed former CFL defensive lineman Armond Armstead. http://t.co/B0cp8WOJ #PatriotsTalk,boston
"RT @MikeReiss: Patriots sign DL Armond Armstead, formerly of USC &amp; CFL, per sources. @AdamSchefter previously noted he's equivalent  ...",boston
RT @ESPNBoston: Patriots blog: Snaps: Spikes &amp; the sub defense http://t.co/UJp7jnRf,boston
It Is What It Is &gt;&gt; Revisiting Patriots’ rookies: Measuring overall impact of this year’s group http://t.co/F9eIXSzE via @WEEI,boston
RT @tomecurran: The Patriots have signed former CFL defensive lineman Armond Armstead. http://t.co/B0cp8WOJ #PatriotsTalk,boston
It Is What It Is &gt;&gt; Following the flags: Tracking Patriots penalties for 2012 postseason http://t.co/W4yA5yfA via @WEEI,boston
RT @GlobePatriots: Extra Points: Patriots sign DL Armond Armstead http://t.co/fkCnQYLS #patriots,boston
"RT @MikeReiss: Offensive snaps for Patriots in AFC Championship highlights ""Gronk Effect"" -- his replacements 85 snaps, 2 targets. http: ...",boston
RT @tomecurran: The Patriots have signed former CFL defensive lineman Armond Armstead. http://t.co/B0cp8WOJ #PatriotsTalk,boston
Lions' Titus Young: 'if I'm not going to get the football i don't want to play anymore' http://t.co/6l06xsk0,boston
RT @tomecurran: The Patriots have signed former CFL defensive lineman Armond Armstead. http://t.co/B0cp8WOJ #PatriotsTalk,boston
"Hey #Patriots fans, want someone to cheer for? How about Sloane Stephens, daughter of former Pat John Stephens. Going against Serena now!",boston
"RT @tgsports: CORRECTION: BHOOPS: Burncoat 63, North 47: Brown gets double-double to lead Patriots: http://t.co/1PSQyBC3",boston
"RT @MikeReiss: Patriots sign DL Armond Armstead, formerly of USC &amp; CFL, per sources. @AdamSchefter previously noted he's equivalent  ...",boston
New post: Patriots Sign DT Armond Armstead http://t.co/IFYVU5vV #sports #sportsnews,boston
"RT @MikeReiss: Patriots sign DL Armond Armstead, formerly of USC &amp; CFL, per sources. @AdamSchefter previously noted he's equivalent  ...",boston
Out doesn't bother me that the Patriots are out. Now I can focus more on the Bruins!! #BruinsAreBack #BruinsHockey 🐻👍,boston
"RT @tgsports: CORRECTION: BHOOPS: Burncoat 63, North 47: Brown gets double-double to lead Patriots: http://t.co/1PSQyBC3",boston
The Patriots have signed former CFL defensive lineman Armond Armstead. http://t.co/B0cp8WOJ #PatriotsTalk,boston
"RT @ESPNBoston: Armond Armstead signs with New England Patriots, according to sources http://t.co/Vq8WOGiG",boston
"RT @tgsports: CORRECTION: BHOOPS: Burncoat 63, North 47: Brown gets double-double to lead Patriots: http://t.co/1PSQyBC3",boston
"RT @tgsports: GHOOPS: Doherty 65, Burncoat 37: Graham, Cormier propel No. 6 Highlanders past Patriots: http://t.co/lC1u8xYg",boston
"RT @tgsports: CORRECTION: BHOOPS: Burncoat 63, North 47: Brown gets double-double to lead Patriots: http://t.co/1PSQyBC3",boston
"patriots
jets
I like watching Brady throw with his left arm. Really gives me the wiggles. #patriots #jets. Just need two more safeties.",boston
"RT @tgsports: GHOOPS: Doherty 65, Burncoat 37: Graham, Cormier propel No. 6 Highlanders past Patriots: http://t.co/lC1u8xYg",boston
RT @PatriotsUpdate: Key Pats FAs: Take 'em or leave 'em? http://t.co/T8gen7ql,boston
"RT @PatriotsExtra: The Patriots missed out on the Super Bowl, does this change Tom Brady's legacy? http://t.co/lk7sOd3r",boston
"RT @tgsports: CORRECTION: BHOOPS: Burncoat 63, North 47: Brown gets double-double to lead Patriots: http://t.co/1PSQyBC3",boston
"GHOOPS: Doherty 65, Burncoat 37: Graham, Cormier propel No. 6 Highlanders past Patriots: http://t.co/lC1u8xYg",boston
"RT @tgsports: CORRECTION: BHOOPS: Burncoat 63, North 47: Brown gets double-double to lead Patriots: http://t.co/1PSQyBC3",boston
RT @cpriceNFL: Checking out which #Patriots defenders were best at getting after the QB in 2012 playoffs. Hint: It's a short list http:/ ...,boston
"RT @tgsports: CORRECTION: BHOOPS: Burncoat 63, North 47: Brown gets double-double to lead Patriots: http://t.co/1PSQyBC3",boston
My Patriots are out of the Super Bowl. No excuses here! I got the 49'ers in the big game!,boston
"CORRECTION: BHOOPS: Burncoat 63, North 47: Brown gets double-double to lead Patriots: http://t.co/1PSQyBC3",boston
RT @RavensDaily: Bernard Pollard: Fine Tom Brady http://t.co/ID6v82jh,baltimore
THIS. IS. HILARIOUS. #falcons #Patriots http://t.co/ssUm92Sa,baltimore
RT @Bthehardway: The patriots are stealing again. They tryna steal the emotional advantage by dedicating game to myra Kraft. Too late son!!!,baltimore
ahhhh yet another reason to dislike the Patriots http://t.co/KW6PKOUY,baltimore
RT @bmorebirds28: Attention jealous #Patriots fans leave Torrey and Ray alone you lost get over it,baltimore
RT @_Kingmoreno: Dear Patriots Fans http://t.co/Wm7p4Gv5,baltimore
RT @_Kingmoreno: Dear Patriots Fans http://t.co/Wm7p4Gv5,baltimore
RT @ProFootballZone: Torrey Smith says Patriots' fans have sent him rude tweets about his brother's death http://t.co/ARwh6Geg,baltimore
"@mrblloyd unfollowed me lol. First off, fuck the Patriots. Second, the Broncos traded you to the Rams for a sixth round pick for a reason!",baltimore
“@NFL_Memes: UPDATED: Falcons and Patriots logo. http://t.co/mHR6qVix” HELP OMFG,baltimore
Bernard Pollard: Fine Tom Brady http://t.co/ID6v82jh,baltimore
"UPDATED: Falcons and Patriots logo. @LMskate @MountainDrew13  http://t.co/3TCTJimb""",baltimore
"I thought this game was a prequel to MGS4. Four years after Guns of the Patriots eh? Also, a doctor is telling me to extract enemy fluids.",baltimore
"New position been a 'great learning process' for Caldwell, Flacco: Minutes after toppling the New England Patriots... http://t.co/tAEsCwUK",baltimore
RT @bmorebirds28: Attention jealous #Patriots fans leave Torrey and Ray alone you lost get over it,baltimore
Attention jealous #Patriots fans leave Torrey and Ray alone you lost get over it,baltimore
