Rank,Name,Count
1.0,OLIVIA ,5325.0
2.0,RUBY ,4931.0
3.0,EMILY ,4881.0
4.0,GRACE ,4775.0
5.0,JESSICA ,4672.0
6.0,CHLOE ,4605.0
7.0,SOPHIE ,4380.0
8.0,LILY ,4047.0
9.0,AMELIA ,3440.0
10.0,EVIE ,3281.0
11.0,MIA ,3121.0
12.0,ELLA ,3042.0
13.0,CHARLOTTE ,2939.0
14.0,LUCY ,2876.0
15.0,MEGAN ,2515.0
16.0,ELLIE ,2505.0
17.0,ISABELLE ,2460.0
18.0,ISABELLA ,2424.0
19.0,HANNAH ,2335.0
20.0,KATIE ,2324.0
21.0,AVA ,2314.0
22.0,HOLLY ,2275.0
23.0,SUMMER ,2270.0
24.0,MILLIE ,2177.0
25.0,DAISY ,2134.0
26.0,PHOEBE ,2116.0
27.0,FREYA ,2111.0
28.0,POPPY ,1975.0
29.0,ABIGAIL ,1973.0
30.0,ERIN ,1818.0
31.0,EMMA ,1744.0
32.0,MOLLY ,1737.0
33.0,IMOGEN ,1712.0
34.0,AMY ,1702.0
35.0,JASMINE ,1656.0
36.0,ISLA ,1599.0
37.0,SCARLETT ,1574.0
38.0,LEAH ,1559.0
39.0,SOPHIA ,1510.0
40.0,ELIZABETH ,1509.0
41.0,EVA ,1505.0
42.0,BROOKE ,1484.0
43.0,MATILDA ,1418.0
44.0,CAITLIN ,1330.0
45.0,KEIRA ,1294.0
46.0,ALICE ,1283.0
47.0,LOLA ,1276.0
48.0,LILLY ,1268.0
49.0,AMBER ,1228.0
50.0,ISABEL ,1217.0
51.0,LAUREN ,1201.0
52.0,GRACIE ,1172.0
53.0,GEORGIA ,1169.0
54.0,ELEANOR ,1151.0
55.0,BETHANY ,1144.0
56.0,MADISON ,1133.0
57.0,AMELIE ,1109.0
58.0,LACEY ,1066.0
59.0,ISOBEL ,1064.0
59.0,PAIGE ,1064.0
61.0,SIENNA ,1056.0
62.0,LIBBY ,1048.0
63.0,MAISIE ,1042.0
64.0,ANNA ,1028.0
65.0,ROSIE ,999.0
66.0,REBECCA ,996.0
67.0,TIA ,992.0
68.0,LAYLA ,978.0
69.0,MAYA ,964.0
70.0,NIAMH ,958.0
71.0,ZARA ,938.0
72.0,SARAH ,930.0
73.0,LEXI ,904.0
74.0,MADDISON ,890.0
75.0,ALISHA ,880.0
76.0,SKYE ,836.0
76.0,SOFIA ,836.0
78.0,NICOLE ,784.0
79.0,LEXIE ,775.0
80.0,FAITH ,761.0
81.0,MARTHA ,750.0
82.0,HARRIET ,749.0
83.0,ZOE ,748.0
84.0,EVE ,742.0
85.0,JULIA ,713.0
86.0,AIMEE ,710.0
87.0,HOLLIE ,690.0
88.0,LYDIA ,661.0
89.0,EVELYN ,660.0
90.0,ALEXANDRA ,625.0
91.0,MARIA ,617.0
