Rank,Name,Count
1.0,JESSICA ,5030.0
2.0,EMILY ,4752.0
3.0,SOPHIE ,4422.0
4.0,OLIVIA ,4282.0
5.0,ELLIE ,4049.0
6.0,CHLOE ,4017.0
7.0,GRACE ,3653.0
8.0,LUCY ,3534.0
9.0,CHARLOTTE ,3499.0
10.0,ELLA ,3220.0
11.0,KATIE ,3201.0
12.0,RUBY ,3149.0
13.0,MEGAN ,3109.0
14.0,HANNAH ,2990.0
15.0,AMELIA ,2976.0
16.0,LILY ,2871.0
17.0,AMY ,2717.0
18.0,MIA ,2539.0
19.0,HOLLY ,2465.0
20.0,ABIGAIL ,2461.0
21.0,MILLIE ,2418.0
22.0,MOLLY ,2355.0
23.0,EMMA ,2144.0
24.0,ISABELLA ,2065.0
25.0,LEAH ,2045.0
26.0,CAITLIN ,1889.0
27.0,LAUREN ,1888.0
28.0,DAISY ,1879.0
28.0,EVIE ,1879.0
30.0,ISABELLE ,1800.0
31.0,FREYA ,1794.0
32.0,ERIN ,1788.0
33.0,REBECCA ,1748.0
34.0,GEORGIA ,1597.0
35.0,POPPY ,1574.0
36.0,PHOEBE ,1569.0
37.0,KEIRA ,1565.0
38.0,AMBER ,1562.0
39.0,MADISON ,1556.0
40.0,BETHANY ,1512.0
41.0,JASMINE ,1478.0
42.0,ELIZABETH ,1435.0
43.0,ELEANOR ,1328.0
44.0,ALICE ,1307.0
45.0,PAIGE ,1290.0
46.0,SCARLETT ,1261.0
47.0,ISABEL ,1232.0
48.0,LIBBY ,1131.0
49.0,AIMEE ,1121.0
50.0,NIAMH ,1110.0
51.0,ISOBEL ,1098.0
52.0,ANNA ,1096.0
53.0,ABBIE ,1004.0
53.0,TIA ,1004.0
55.0,EVE ,964.0
56.0,SARAH ,962.0
57.0,ALISHA ,957.0
58.0,COURTNEY ,949.0
58.0,MAISIE ,949.0
60.0,SOPHIA ,940.0
61.0,ROSIE ,914.0
61.0,SHANNON ,914.0
63.0,MADDISON ,899.0
64.0,MADELEINE ,888.0
65.0,IMOGEN ,868.0
66.0,SUMMER ,852.0
67.0,ZOE ,829.0
68.0,NICOLE ,823.0
69.0,FAITH ,813.0
70.0,SIENNA ,803.0
71.0,BROOKE ,743.0
72.0,ALICIA ,731.0
73.0,HARRIET ,711.0
74.0,LILLY ,703.0
75.0,FRANCESCA ,700.0
76.0,EVA ,695.0
77.0,HOLLIE ,684.0
78.0,DEMI ,683.0
79.0,RACHEL ,681.0
80.0,NATASHA ,680.0
81.0,MOLLIE ,668.0
82.0,AVA ,657.0
83.0,AMELIE ,655.0
84.0,LYDIA ,649.0
85.0,ZARA ,640.0
86.0,GRACIE ,637.0
87.0,ALEXANDRA ,634.0
88.0,SKYE ,631.0
89.0,MATILDA ,620.0
90.0,LOLA ,613.0
91.0,MORGAN ,594.0
92.0,KIERA ,588.0
93.0,ELOISE ,583.0
94.0,LAURA ,571.0
95.0,TILLY ,557.0
96.0,SOFIA ,542.0
97.0,LAYLA ,530.0
98.0,MAYA ,527.0
99.0,KAYLEIGH ,524.0
100.0,NAOMI ,510.0
101.0,CERYS ,504.0
102.0,MELISSA ,494.0
103.0,TEGAN ,488.0
104.0,VICTORIA ,485.0
105.0,LARA ,480.0
106.0,EBONY ,478.0
107.0,AISHA ,475.0
107.0,GEORGINA ,475.0
109.0,JENNIFER ,459.0
110.0,MARTHA ,456.0
111.0,CHELSEA ,454.0
112.0,CHARLIE ,452.0
112.0,LOUISE ,452.0
114.0,KATE ,451.0
115.0,MARIA ,450.0
116.0,ANGEL ,448.0
116.0,ELISE ,448.0
116.0,JADE ,448.0
119.0,YASMIN ,445.0
120.0,SARA ,442.0
121.0,KELSEY ,441.0
122.0,KATHERINE ,440.0
123.0,ANYA ,437.0
123.0,ROSE ,437.0
125.0,ISLA ,432.0
125.0,PARIS ,432.0
127.0,MARYAM ,431.0
128.0,ANNABEL ,429.0
129.0,AALIYAH ,426.0
129.0,MADELINE ,426.0
131.0,SAMANTHA ,423.0
132.0,JODIE ,420.0
133.0,FLORENCE ,399.0
133.0,KACEY ,399.0
135.0,FAYE ,397.0
136.0,NATALIE ,395.0
137.0,ESME ,389.0
137.0,MILLY ,389.0
139.0,EVELYN ,388.0
140.0,BETHAN ,382.0
141.0,LOIS ,371.0
142.0,ELLEN ,359.0
143.0,KAITLYN ,355.0
