StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q25,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q32,Q31
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your field of study?,What is your position?,How often do you analyze or otherwise work with quantitative data?,Which of these programs or languages do you use?,"Click to write the question text - Caption Generation: automated acquisition of visual contents (eg. objects,  text, facial features and emotion) from images using Python APIs",Click to write the question text - Speech Recognition: automated conversion of audio file to text,Click to write the question text - Text Classification (e.g. detect languages from text),"Click to write the question text - Text Analysis: sentiment analysis, key phrases and topic modelling",What are the most recent data science techniques applied in your field? Would you be interested in knowing more?,Are there other machine learning/deep learning topics you are interested in?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_2""}","{""ImportId"":""QID71_3""}","{""ImportId"":""QID71_4""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID72_TEXT""}"
7/12/2018 7:54,7/12/2018 7:55,IP Address,100,56,TRUE,7/12/2018 7:55,R_2cilxcLtdzdVEX2,51.53329468,-0.100006104,email,EN,Health Policy,Graduate Student,Every week,Python,Not Interested,Not Interested,Not Interested,Interested,,
7/12/2018 7:55,7/12/2018 7:59,IP Address,100,263,TRUE,7/12/2018 7:59,R_2pY5sabFbecacwx,42.38000488,-71.13289642,email,ZH-S,urban planning,Graduate Student,Only when I have to,Stata,Not Interested,Very Interested,Not Interested,Very Interested,"STATA. Yes, I would be very interested in knowing more.",Content analysis of documents; Coding of interview notes
7/12/2018 8:00,7/12/2018 8:04,IP Address,100,194,TRUE,7/12/2018 8:04,R_32Yi1B9bvRM1tMA,42.38000488,-71.13289642,email,EN,Library and Information Science,Staff member,Every day,SAS,Very Interested,Very Interested,Very Interested,Very Interested,Unsure. I don't read literature in my field on a routine basis.,Convolutional Neutral Network processing 
7/12/2018 8:04,7/12/2018 8:06,IP Address,100,131,TRUE,7/12/2018 8:06,R_Uin7b9H2mctz7Dr,42.40190125,-71.11930084,email,EN,research,Staff member,Every day,R,Very Interested,Interested,Very Interested,Very Interested,,
7/12/2018 8:06,7/12/2018 8:07,IP Address,100,60,TRUE,7/12/2018 8:07,R_Ab0pnpPIoxVjgKB,37.74839783,-122.4156036,email,EN,Sociology,Graduate Student,Only when I have to,R,Not Interested,Not Interested,Not Interested,Interested,,
7/12/2018 8:06,7/12/2018 8:08,IP Address,100,116,TRUE,7/12/2018 8:08,R_2c5GOw0pfwjkQOs,42.38000488,-71.13289642,email,EN,Economics and Strategy,Staff member,Every month,Stata,Not Interested,Somehow interested,Not Interested,Interested,Statistical Inference,
7/12/2018 8:17,7/12/2018 8:18,IP Address,100,71,TRUE,7/12/2018 8:18,R_1Ntfc0fNwyIJSpM,42.38279724,-71.09549713,email,EN,Curriculum development,Staff member,Only when I have to,Excel,Very Interested,Not Interested,Somehow interested,Very Interested,,
7/12/2018 8:27,7/12/2018 8:33,IP Address,100,320,TRUE,7/12/2018 8:33,R_2YqOMgeFFD8YfFK,42.40190125,-71.11930084,email,EN,"Economics, Business",Staff member,Every day,"Excel,Python,R,SAS,Stata",Interested,Somehow interested,Interested,Very Interested,Machine learning for identifying statistical models and yes,Machine learning for identifying statistical models
